firm,year,pat_any,lgspilltec1,lgspillsic1,lgmalspilltec1,lgmalspillsic1,lgrd1,lsales1,lgrd1_dum
5,1990,1,10.6115,7.932564,11.7698,8.799928,4.345244,6.775366,0
5,1991,1,10.65445,7.941681,11.81171,8.823662,4.299127,6.910751,0
5,1992,1,10.69507,7.943093,11.85067,8.840521,4.269873,6.857514,0
5,1993,1,10.73768,7.952529,11.8889,8.864872,4.2872,6.948897,0
5,1994,1,10.78242,7.968235,11.92448,8.893656,4.283322,7.037906,0
5,1995,1,10.83162,7.988983,11.96135,8.922554,4.319478,7.159292,0
5,1996,1,10.90572,8.027348,12.02124,8.972331,4.345476,7.200425,0
5,1997,1,10.97025,8.063924,12.07115,9.019928,4.363855,7.160069,0
5,1998,0,11.01235,8.105972,12.11392,9.065772,4.458912,7.182352,0
5,1999,0,11.04432,8.147355,12.15077,9.103498,4.530593,7.191429,0
5,2000,0,11.06915,8.190617,12.17717,9.144852,4.565238,7.314553,0
5,2001,0,11.08322,8.220408,12.19529,9.173735,4.6456,7.372118,0
6,1981,1,9.621516,9.373454,11.29409,9.561807,7.72377,8.057694,0
6,1982,1,9.667562,9.419027,11.33993,9.607336,7.674687,8.15966,0
6,1983,1,9.726296,9.478415,11.39135,9.666456,7.636841,8.188689,0
6,1984,1,9.789845,9.545744,11.44293,9.733136,7.616189,8.273082,0
6,1985,1,9.854795,9.614985,11.50104,9.801566,7.612315,8.340218,0
6,1986,1,9.916714,9.67946,11.5567,9.865184,7.63774,8.39931,0
6,1987,1,9.981546,9.752785,11.61347,9.937825,7.685577,8.483843,0
6,1988,1,10.05315,9.838941,11.66967,10.02206,7.736775,8.594339,0
6,1989,1,10.13589,9.937682,11.73334,10.11818,7.79918,8.695004,0
6,1990,1,10.21475,10.02901,11.79588,10.20671,8.013116,9.125762,0
6,1991,1,10.29803,10.12256,11.86005,10.29765,8.184684,9.2399,0
6,1992,1,10.3791,10.21855,11.91937,10.39115,8.33213,9.320002,0
6,1993,1,10.4664,10.32068,11.98145,10.49093,8.457685,9.319733,0
6,1994,1,10.54233,10.40928,12.03433,10.57799,8.557153,9.342508,0
6,1995,1,10.60867,10.49205,12.07932,10.65943,8.62647,9.391328,0
6,1996,1,10.67844,10.57878,12.12939,10.74527,8.693323,9.530029,0
6,1997,1,10.75101,10.66813,12.17919,10.83343,8.755346,9.62013,0
6,1998,1,10.8356,10.76157,12.24535,10.92598,8.817503,9.723224,0
6,1999,1,10.94209,10.84981,12.32485,11.03873,8.891061,9.813782,0
6,2000,0,11.03136,10.9162,12.39281,11.1296,8.979314,9.914526,0
6,2001,0,11.11326,10.96536,12.44817,11.19653,9.05493,9.810056,0
7,1981,1,6.677461,4.679349,9.187011,6.138591,-1,6.214608,1
7,1982,0,6.738706,4.7141,9.225302,6.18034,-1,6.359574,1
7,1983,1,6.810753,4.733912,9.261933,6.214802,-1,6.405229,1
7,1984,0,6.870639,4.748349,9.296741,6.243966,-1,6.761573,1
7,1985,0,6.918963,4.7668,9.342848,6.276667,-1,6.833032,1
7,1986,0,6.967557,4.777448,9.389764,6.301438,-1,6.902743,1
7,1987,0,7.017928,4.806297,9.443176,6.33719,-1,7.001245,1
7,1988,1,7.048258,4.8123,9.489716,6.354015,-1,6.972606,1
7,1989,0,7.089076,4.808329,9.541119,6.362956,-1,6.913737,1
7,1990,0,7.123905,4.81629,9.593715,6.380157,-1,6.924613,1
7,1991,0,7.15946,4.830809,9.643033,6.40041,-1,7.020191,1
7,1992,0,7.196045,4.841225,9.687781,6.410276,-1,7.138867,1
7,1993,0,7.234454,4.863044,9.731026,6.428181,-1,7.254885,1
7,1994,0,7.277688,4.894683,9.768168,6.450531,-1,7.244942,1
7,1995,0,7.339091,4.923683,9.805092,6.471125,-1,7.258412,1
7,1996,0,7.381203,4.950349,9.849967,6.491424,-1,7.342132,1
7,1997,0,7.42546,4.979012,9.890388,6.514864,-1,7.367709,1
7,1998,0,7.485509,5.033364,9.939599,6.578666,-1,7.41998,1
7,1999,0,7.529912,5.098422,9.988175,6.648463,-1,7.482119,1
7,2000,0,7.56142,5.195109,10.02643,6.750579,-1,7.53743,1
8,1981,1,10.08795,7.293426,11.40297,8.449985,6.329693,7.090077,0
8,1982,1,10.11075,7.316546,11.42975,8.475334,6.250993,6.989335,0
8,1983,1,10.12362,7.319654,11.44884,8.484406,6.180038,6.973543,0
8,1984,1,10.13919,7.317689,11.46829,8.488447,6.105481,7.103322,0
8,1985,1,10.16945,7.329299,11.50647,8.503794,6.073635,7.291656,0
8,1986,1,10.20389,7.323108,11.54567,8.50818,6.038651,7.338888,0
8,1987,1,10.25028,7.328578,11.59429,8.524327,6.034297,7.448334,0
8,1988,1,10.29202,7.320336,11.63712,8.531296,6.071918,8.034631,0
8,1989,1,10.33976,7.320503,11.68415,8.545732,6.127405,8.096209,0
8,1990,1,10.38862,7.336046,11.73279,8.570467,6.160301,7.946618,0
8,1991,1,10.43236,7.343312,11.77578,8.591932,6.151833,7.815207,0
8,1992,1,10.47324,7.344406,11.81542,8.608513,6.127418,7.643962,0
8,1993,1,10.51498,7.354671,11.85408,8.633219,6.100613,7.629976,0
8,1994,1,10.55589,7.369457,11.88886,8.660084,6.095985,7.699389,0
8,1995,1,10.59929,7.389903,11.92364,8.688109,6.107759,7.901007,0
8,1996,1,10.66445,7.425571,11.97906,8.732489,6.160519,8.019941,0
8,1997,1,10.72144,7.460585,12.02497,8.77634,6.193635,8.058328,0
8,1998,1,10.76389,7.50306,12.06732,8.82125,6.221542,8.204398,0
8,1999,1,10.79801,7.544646,12.1047,8.860371,6.240715,8.280204,0
